grid,centroid,c_lon,c_lat,geometry,node,nearest_sap,destination,sap_name,route_length
"1180963.280286 1000017.520396, 1180963.280286 1001017.520396, 1181963.280286 1001017.520396, 1181963.280286 1000017.520396, 1180963.280286 1000017.520396",POINT (1181463.2802863133 1000517.520395831),75.70319856161399,26.877903387656072,"POLYGON ((569339.4547970745 2972609.9379971633, 569348.340730344 2973610.5694952062, 570348.9731126667 2973601.684400307, 570340.0871292332 2972601.0511756246, 569339.4547970745 2972609.9379971633))",8621770965,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,2592
"1180963.280286 1001017.520396, 1180963.280286 1002017.520396, 1181963.280286 1002017.520396, 1181963.280286 1001017.520396, 1180963.280286 1001017.520396",POINT (1181463.2802863133 1001517.520395831),75.70334393078473,26.88693671453672,"POLYGON ((569348.340730344 2973610.5694952062, 569357.224948949 2974611.201030651, 570357.8573566957 2974602.3176631806, 570348.9731126667 2973601.684400307, 569348.340730344 2973610.5694952062))",8628009727,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,2907
"1180963.280286 1002017.520396, 1180963.280286 1003017.520396, 1181963.280286 1003017.520396, 1181963.280286 1002017.520396, 1180963.280286 1002017.520396",POINT (1181463.2802863133 1002517.520395831),75.70348932307375,26.895970029668806,"POLYGON ((569357.224948949 2974611.201030651, 569366.1074520954 2975611.8325787517, 570366.7398605272 2975602.950939504, 570357.8573566957 2974602.3176631806, 569357.224948949 2974611.201030651))",3937335340,POINT (571114.4996736187 2973152.778458974),8120330622,Kamla Nehru,2944
"1180963.280286 1003017.520396, 1180963.280286 1004017.520396, 1181963.280286 1004017.520396, 1181963.280286 1003017.520396, 1180963.280286 1003017.520396",POINT (1181463.2802863133 1003517.520395831),75.70363473848657,26.90500333282629,"POLYGON ((569366.1074520954 2975611.8325787517, 569374.9882389931 2976612.46411477, 570375.6206233685 2976603.5842045415, 570366.7398605272 2975602.950939504, 569366.1074520954 2975611.8325787517))",3935222899,POINT (572331.2176549354 2976187.967684303),8090746732,Gandhi Path Pulia,2981
"1180963.280286 1004017.520396, 1180963.280286 1005017.520396, 1181963.280286 1005017.520396, 1181963.280286 1004017.520396, 1180963.280286 1004017.520396",POINT (1181463.2802863133 1004517.520395831),75.70378017702872,26.91403662378314,"POLYGON ((569374.9882389931 2976612.46411477, 569383.8673088477 2977613.0956139606, 570384.4996444192 2977604.2174335443, 570375.6206233685 2976603.5842045415, 569374.9882389931 2976612.46411477))",3933368472,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,3754
"1180963.280286 1005017.520396, 1180963.280286 1006017.520396, 1181963.280286 1006017.520396, 1181963.280286 1005017.520396, 1180963.280286 1005017.520396",POINT (1181463.2802863133 1005517.520395831),75.70392563870571,26.923069902313262,"POLYGON ((569383.8673088477 2977613.0956139606, 569392.7446608674 2978613.7270515803, 570393.3769228912 2978604.850601768, 570384.4996444192 2977604.2174335443, 569383.8673088477 2977613.0956139606))",3935403132,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,2611
"1180963.280286 1006017.520396, 1180963.280286 1007017.520396, 1181963.280286 1007017.520396, 1181963.280286 1006017.520396, 1180963.280286 1006017.520396",POINT (1181463.2802863133 1006517.520395831),75.70407112352304,26.932103168190604,"POLYGON ((569392.7446608674 2978613.7270515803, 569401.6202942615 2979614.3584028813, 570402.2524579866 2979605.483684466, 570393.3769228912 2978604.850601768, 569392.7446608674 2978613.7270515803))",3935397513,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,3452
"1180963.280286 1007017.520396, 1180963.280286 1008017.520396, 1181963.280286 1008017.520396, 1181963.280286 1007017.520396, 1180963.280286 1007017.520396",POINT (1181463.2802863133 1007517.520395831),75.70421663148626,26.94113642118905,"POLYGON ((569401.6202942615 2979614.3584028813, 569410.4942082358 2980614.9896431137, 570411.1262489149 2980606.1166568906, 570402.2524579866 2979605.483684466, 569401.6202942615 2979614.3584028813))",8627985390,POINT (572697.8815283156 2980619.925300294),2428766906,PULIA BUS STAND,3760
"1180963.280286 1008017.520396, 1180963.280286 1009017.520396, 1181963.280286 1009017.520396, 1181963.280286 1008017.520396, 1180963.280286 1008017.520396",POINT (1181463.2802863133 1008517.520395831),75.70436216260087,26.9501696610825,"POLYGON ((569410.4942082358 2980614.9896431137, 569419.3664020005 2981615.620747526, 570419.9982948791 2981606.749494287, 570411.1262489149 2980606.1166568906, 569410.4942082358 2980614.9896431137))",3784365603,POINT (572211.2047533623 2982682.574296121),8628202451,Nath ji ki thadi,5657
"1181963.280286 997017.520396, 1181963.280286 998017.520396, 1182963.280286 998017.520396, 1182963.280286 997017.520396, 1181963.280286 997017.520396",POINT (1182463.2802863133 997517.520395831),75.71283353899285,26.85067266025404,"POLYGON ((570313.418750459 2969599.1519780913, 570322.3099473354 2970599.7849397836, 571322.9438419783 2970590.8945549517, 571314.05251994 2969590.259844274, 570313.418750459 2969599.1519780913))",8627627904,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,3112
