grid,centroid,c_lon,c_lat,geometry
"1180963.280286 1000017.520396, 1180963.280286 1001017.520396, 1181963.280286 1001017.520396, 1181963.280286 1000017.520396, 1180963.280286 1000017.520396",POINT (1181463.2802863133 1000517.520395831),75.70319856161399,26.877903387656072,"POLYGON ((75.69808940331126 26.873451802627386, 75.69823436057575 26.882485140390056, 75.70830812025892 26.882354785162565, 75.70816236229747 26.873321457599026, 75.69808940331126 26.873451802627386))"
"1180963.280286 1001017.520396, 1180963.280286 1002017.520396, 1181963.280286 1002017.520396, 1181963.280286 1001017.520396, 1180963.280286 1001017.520396",POINT (1181463.2802863133 1001517.520395831),75.70334393078473,26.88693671453672,"POLYGON ((75.69823436057575 26.882485140390056, 75.69837934089216 26.8915184665164, 75.70845390139952 26.8913881010914, 75.70830812025892 26.882354785162565, 75.69823436057575 26.882485140390056))"
"1180963.280286 1002017.520396, 1180963.280286 1003017.520396, 1181963.280286 1003017.520396, 1181963.280286 1002017.520396, 1180963.280286 1002017.520396",POINT (1181463.2802863133 1002517.520395831),75.70348932307375,26.895970029668806,"POLYGON ((75.69837934089216 26.8915184665164, 75.69852434426593 26.900551780780344, 75.70859970572484 26.900421405159474, 75.70845390139952 26.8913881010914, 75.69837934089216 26.8915184665164))"
"1180963.280286 1003017.520396, 1180963.280286 1004017.520396, 1181963.280286 1004017.520396, 1181963.280286 1003017.520396, 1180963.280286 1003017.520396",POINT (1181463.2802863133 1003517.520395831),75.70363473848657,26.90500333282629,"POLYGON ((75.69852434426593 26.900551780780344, 75.69866937070262 26.90958508295585, 75.70874553324039 26.909454697140784, 75.70859970572484 26.900421405159474, 75.69852434426593 26.900551780780344))"
"1180963.280286 1004017.520396, 1180963.280286 1005017.520396, 1181963.280286 1005017.520396, 1181963.280286 1004017.520396, 1180963.280286 1004017.520396",POINT (1181463.2802863133 1004517.520395831),75.70378017702872,26.91403662378314,"POLYGON ((75.69866937070262 26.90958508295585, 75.69881442020768 26.918618372816862, 75.70889138395168 26.91848797680923, 75.70874553324039 26.909454697140784, 75.69866937070262 26.90958508295585))"
"1180963.280286 1005017.520396, 1180963.280286 1006017.520396, 1181963.280286 1006017.520396, 1181963.280286 1005017.520396, 1180963.280286 1005017.520396",POINT (1181463.2802863133 1005517.520395831),75.70392563870571,26.923069902313262,"POLYGON ((75.69881442020768 26.918618372816862, 75.69895949278664 26.927651650137307, 75.70903725786428 26.927521243938738, 75.70889138395168 26.91848797680923, 75.69881442020768 26.918618372816862))"
"1180963.280286 1006017.520396, 1180963.280286 1007017.520396, 1181963.280286 1007017.520396, 1181963.280286 1006017.520396, 1180963.280286 1006017.520396",POINT (1181463.2802863133 1006517.520395831),75.70407112352304,26.932103168190604,"POLYGON ((75.69895949278664 26.927651650137307, 75.69910458844502 26.936684914691078, 75.70918315498369 26.936554498303234, 75.70903725786428 26.927521243938738, 75.69895949278664 26.927651650137307))"
"1180963.280286 1007017.520396, 1180963.280286 1008017.520396, 1181963.280286 1008017.520396, 1181963.280286 1007017.520396, 1180963.280286 1007017.520396",POINT (1181463.2802863133 1007517.520395831),75.70421663148626,26.94113642118905,"POLYGON ((75.69910458844502 26.936684914691078, 75.6992497071883 26.945718166252085, 75.7093290753155 26.945587739676604, 75.70918315498369 26.936554498303234, 75.69910458844502 26.936684914691078))"
"1180963.280286 1008017.520396, 1180963.280286 1009017.520396, 1181963.280286 1009017.520396, 1181963.280286 1008017.520396, 1180963.280286 1008017.520396",POINT (1181463.2802863133 1008517.520395831),75.70436216260087,26.9501696610825,"POLYGON ((75.6992497071883 26.945718166252085, 75.699394849022 26.954751404594187, 75.7094750188652 26.954620967832717, 75.7093290753155 26.945587739676604, 75.6992497071883 26.945718166252085))"
"1181963.280286 997017.520396, 1181963.280286 998017.520396, 1182963.280286 998017.520396, 1182963.280286 997017.520396, 1181963.280286 997017.520396",POINT (1182463.2802863133 997517.520395831),75.71283353899285,26.85067266025404,"POLYGON ((75.70772522743289 26.846221407360172, 75.70787091588998 26.85525476847184, 75.71794225070146 26.85512372580776, 75.7177957619346 26.8460903749564, 75.70772522743289 26.846221407360172))"
